"",weight,が良く,の良い,がよく,のよい,が悪く,が悪い,が良いです,もよく,も良く,も良いです,がいいです,が悪いと,も良好です,が良い,がよい,の悪い,もいいです,は良好です,の高い,がいいので,が悪いです,が良いので,は良く,がいい,が悪いので,も良いので,は良い,が良くて,は良いです,が良くない,が良いのか,が高い,が感じます,もいいですね,もよい,はいいと,もいい,があります,を考えると,は感じです,がいいと,がよいです,のある,も高く,は良いと,にある,にありません,も良いですね,は悪いです,はいいですね
weight,"",1.60892606784366e-07,1.52441702340993e-07,1.4527476313485e-07,1.42793295139845e-07,1.35117866508706e-07,1.2853751183074e-07,1.23883496068608e-07,1.19734985919285e-07,1.1846479120688e-07,1.14141504528433e-07,1.11183795522419e-07,1.07390886041515e-07,1.06217804145723e-07,1.04985099959314e-07,9.99080462839415e-08,9.89174203530186e-08,9.66788437020209e-08,9.46940569599484e-08,9.28182413661008e-08,9.11777697721408e-08,9.03307485375703e-08,8.72373672443871e-08,8.52306536150746e-08,8.43092609296676e-08,8.26361187417113e-08,8.05561163147187e-08,7.92920979123152e-08,7.80974251518474e-08,7.76560946009474e-08,7.67637013830686e-08,7.59730284597039e-08,7.59411407178789e-08,7.46728504897485e-08,7.42809670433641e-08,7.34565812028848e-08,7.33593350533243e-08,7.33322353915718e-08,7.26613709453474e-08,7.18627393975456e-08,6.92626761243389e-08,6.91177569013467e-08,6.89685437134404e-08,6.83638075199345e-08,6.795866293527e-08,6.75999543692542e-08,6.61684659147622e-08,6.4769162381552e-08,6.43416708535225e-08,6.42975268631286e-08,6.33718309174482e-08
大きさ,4.13659420525599e-09,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,8,1,0,0,1,0,1,0,0,0,0,0
・操作性,4.0615344655055e-09,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
キレ,4.01851215932858e-09,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ホールド,4.01544666013224e-09,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
トータルバランス,3.98152658413311e-09,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気分,3.95322428288078e-09,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
・画質,3.76590870992508e-09,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
グリップ感,3.73392960165689e-09,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
解像感,3.69625228691864e-09,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,1,0,0,6,0,1,0,0,0,0,0
ファインダー,3.69157125305953e-09,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
液晶,3.57499823431866e-09,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,0,0
ボケ具合,3.5739428321512e-09,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
撮影,3.56745128315113e-09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
機動性,3.50614258837259e-09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
フィーリング,3.37014868864308e-09,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マッチング,3.36458691042274e-09,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画角,3.35646210796777e-09,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
機能性,3.28064412664752e-09,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0
品,3.26974158847349e-09,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
完成度,3.22602787372644e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
ピント精度,3.14824846375122e-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
機能,3.13288721254551e-09,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,8,2,0,0,1,0,1,0,0,0,0,0
コストパフォーマンス,3.12067077987692e-09,1,5,0,0,0,0,0,1,1,0,0,0,0,5,3,0,0,0,36,1,0,0,0,1,0,0,0,0,4,0,0,14,0,3,0,1,1,0,10,0,0,0,0,4,8,0,0,0,0,3
グリップ,3.09121029977612e-09,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
見栄え,3.06360801761534e-09,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
望遠,3.05088437000162e-09,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
フットワーク,3.04565270832054e-09,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
追従性,3.03681162792546e-09,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
機種,2.99014880846683e-09,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,2,0,0,0,0,0
