"",weight,色のり,色乗り,評判,レスポンス,発色,重量バランス,気持ち,持ち,出来,ホールド感,写り,相性,位置,視認性,質,ホールド性,描写,バランス,反応,音,ヌケ,携帯性,感度,見た目,取り回し,配置,色,操作性,操作感,使い勝手,天気,精度,ボケ味,描写力,レンズ,もち,感触,デザイン,カメラ,感じ
weight,"",2.84733648184083e-13,2.84628284387227e-13,2.60966618854553e-13,2.55718674045126e-13,2.4317091409228e-13,2.35979888083057e-13,2.34013723615749e-13,2.32633865282282e-13,2.21233622693127e-13,2.10617695099161e-13,2.10532821428523e-13,2.09259965000064e-13,2.08478721839589e-13,2.07090897820322e-13,2.0619313208451e-13,2.06055842896675e-13,2.02310425825676e-13,2.01368348618303e-13,2.00331639636299e-13,1.96570586906772e-13,1.94596506134138e-13,1.91767502036981e-13,1.89780919066279e-13,1.83782629325512e-13,1.82671280491656e-13,1.79695843052563e-13,1.72130956790233e-13,1.7001710091557e-13,1.7000930658284e-13,1.68626336492865e-13,1.6787736243676e-13,1.66066175662789e-13,1.62238928376974e-13,1.61053442793458e-13,1.5723573961582e-13,1.56862914955935e-13,1.55614667127013e-13,1.55005054086817e-13,1.54215866642093e-13,1.5095323051486e-13
は思います,8.99676007129343e-15,0,1,0,0,2,0,0,0,1,4,4,0,0,1,0,1,5,0,0,0,0,12,1,0,0,1,1,11,0,1,0,0,2,0,6,0,0,11,3,0
も良いと,8.95943278846011e-15,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,6,0,1,0,2,0,0,0,0,1,4,0,0
は良いと,8.88867244872977e-15,1,0,0,1,0,0,0,8,0,4,5,1,0,0,0,0,0,8,2,0,0,12,0,0,0,0,1,10,1,5,0,2,0,1,2,1,1,11,1,1
は悪いです,8.87873623315761e-15,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
にありません,8.7372252779033e-15,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0
はいいです,8.71326064206365e-15,0,1,0,0,1,0,0,1,1,2,7,1,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,4,0,3,0,0,3,1,4,0,0,3,3,0
もありません,8.56458535537243e-15,0,0,0,0,1,0,0,0,0,5,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,3,1,1,0,0,1,1,1
は良いのですが,8.47398229516155e-15,1,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
がイマイチ,8.44157450895533e-15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0
も良好,8.35819429602278e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0
がなります,8.27217979336635e-15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1
はもの,8.21057406877184e-15,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
も良い,8.18458088717474e-15,0,0,1,1,0,0,0,4,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,8,2,1,0,0,0,0,1,0,2,2,0,0
は落ちますが,8.11638262760114e-15,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
もあります,8.09913985518194e-15,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
は最高です,8.02925118799914e-15,0,0,0,0,2,0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,2
